trial_id,seed,split_id,k,config_name,baseline_eer,xpca_eer,delta_eer,baseline_auc,xpca_auc,delta_auc,baseline_threshold,xpca_threshold,train_count,probe_count,genuine_count,impostor_count,runtime,git_commit,config_hash,score_file_baseline,score_file_xpca
6,6,split_6,128,Optimized,6.490001588040806,6.533984965357514,0.04398337731670865,0.9792252028284854,0.979186127634041,-3.907519444434904e-05,0.2963838279247284,0.29854193434392,1380,1221,1221,560439,1.9847119251887004,N/A,optimized_k128,,
7,7,split_7,128,Standard,8.281900438763182,8.31464262836812,0.03274218960493819,0.9685500362380451,0.9677432289723726,-0.0008068072656725045,0.2797784209251404,0.2986393396805814,1380,1221,1221,560439,1.9847119251887004,N/A,standard_k128,,
7,7,split_7,128,Optimized,7.2054228916974035,7.277241590967082,0.07181869926967815,0.9726282953868828,0.9725661431913138,-6.215219556893192e-05,0.28598129749298096,0.2875424422435867,1380,1221,1221,560439,1.9847119251887004,N/A,optimized_k128,,
8,8,split_8,128,Standard,7.144399301262045,7.522138894687913,0.3777395934258687,0.9743296921036158,0.9736060542535467,-0.0007236378500690144,0.298947811126709,0.31106212907498987,1380,1221,1221,560439,1.9847119251887004,N/A,standard_k128,,
8,8,split_8,128,Optimized,6.795565619095028,6.806360727929353,0.01079510883432444,0.9778327162823959,0.9777552278877132,-7.748839468268987e-05,0.2943724989891052,0.29668252744033574,1380,1221,1221,560439,1.9847119251887004,N/A,optimized_k128,,
9,9,split_9,128,Standard,7.037786449551156,7.424626052077035,0.3868396025258791,0.9757836725044575,0.9748296942817667,-0.0009539782226908322,0.298301637172699,0.3125812572200727,1380,1221,1221,560439,1.9847119251887004,N/A,standard_k128,,
9,9,split_9,128,Optimized,6.385619130717169,6.468143723045686,0.08252459232851728,0.9786525515355952,0.9785916539140354,-6.0897621559807824e-05,0.29924967885017395,0.3002576021784461,1380,1221,1221,560439,1.9847119251887004,N/A,optimized_k128,,
10,10,split_10,128,Standard,7.369312271273058,7.596455635671323,0.22714336439826482,0.9710607983238904,0.9701492271870135,-0.0009115711368768986,0.29376664757728577,0.31123377439062005,1380,1221,1221,560439,1.9847119251887004,N/A,standard_k128,,
10,10,split_10,128,Optimized,6.893346109032383,7.035645270939386,0.14229916190700298,0.9746228568955038,0.9745395771475327,-8.327974797106563e-05,0.29072749614715576,0.2904166712243393,1380,1221,1221,560439,1.9847119251887004,N/A,optimized_k128,,
11,11,split_11,128,Standard,7.456832947029027,7.542034012622246,0.08520106559321838,0.9720249190869543,0.971426576427299,-0.0005983426596553043,0.2923779785633087,0.31127762393677955,1380,1221,1221,560439,1.9847119251887004,N/A,standard_k128,,
11,11,split_11,128,Optimized,6.708937101093965,6.723746919825352,0.014809818731387203,0.9767213668387571,0.976659868599937,-6.1498238820068e-05,0.29364410042762756,0.2954463101875417,1380,1221,1221,560439,1.9847119251887004,N/A,optimized_k128,,
12,12,split_12,128,Standard,7.572188944737962,7.87471963942552,0.30253069468755833,0.9706008672542051,0.9692502405161587,-0.0013506267380464232,0.29274705052375793,0.313840210042445,1380,1221,1221,560439,1.9847119251887004,N/A,standard_k128,,
12,12,split_12,128,Optimized,7.044209985386457,7.198374845433671,0.1541648600472137,0.9752192705654189,0.9751040200045356,-0.00011525056088335095,0.29040417075157166,0.2908265833926742,1380,1221,1221,560439,1.9847119251887004,N/A,optimized_k128,,
13,13,split_13,128,Standard,8.271016114153367,8.381732891536812,0.11071677738344332,0.9671012480345877,0.9663114334149006,-0.0007898146196871902,0.28183653950691223,0.3008360664634606,1380,1221,1221,560439,1.9847119251887004,N/A,standard_k128,,
13,13,split_13,128,Optimized,7.699232209036129,7.725372431254783,0.026140222218654086,0.9708109641947222,0.970746429258417,-6.453493630520502e-05,0.2795369625091553,0.28126224357754603,1380,1221,1221,560439,1.9847119251887004,N/A,optimized_k128,,
14,14,split_14,128,Standard,7.79558524656564,8.033791367124701,0.23820612055906187,0.9713439133715024,0.9704365896654442,-0.0009073237060581718,0.2873120605945587,0.30437720497983195,1380,1221,1221,560439,1.9847119251887004,N/A,standard_k128,,
14,14,split_14,128,Optimized,7.28928572065827,7.4477329379290165,0.1584472172707463,0.9768151456979322,0.9766979076930739,-0.00011723800485829994,0.2845584750175476,0.28268366992301747,1380,1221,1221,560439,1.9847119251887004,N/A,optimized_k128,,
15,15,split_15,128,Standard,7.289821015311211,7.537484008072242,0.2476629927610302,0.9752290843007227,0.9746137263440663,-0.0006153579566564593,0.29493042826652527,0.31130199560235994,1380,1221,1221,560439,1.9847119251887004,N/A,standard_k128,,
15,15,split_15,128,Optimized,7.032255071470758,6.995141308866801,-0.03711376260395749,0.977510572803727,0.9774596876618686,-5.0885141858358907e-05,0.288524329662323,0.29215642989101187,1380,1221,1221,560439,1.9847119251887004,N/A,optimized_k128,,
16,16,split_16,128,Standard,7.534450671705571,7.8009381930950585,0.2664875213894871,0.9712791877282572,0.9702001934341227,-0.0010789942941344943,0.29050999879837036,0.3106560770698336,1380,1221,1221,560439,1.9847119251887004,N/A,standard_k128,,
