component,eigenvalue,explained_variance_ratio,cumulative_variance
320,0.094366126,0.000286172,0.9054029
321,0.09418136,0.0002856117,0.9056885
322,0.09344836,0.00028338883,0.9059719
323,0.09323123,0.00028273035,0.9062546
324,0.09249561,0.00028049955,0.9065351
325,0.092303395,0.00027991663,0.906815
326,0.09165034,0.00027793617,0.9070929
327,0.091602124,0.00027778998,0.90737075
328,0.091438554,0.00027729393,0.907648
329,0.09087504,0.00027558501,0.90792364
330,0.090627365,0.00027483393,0.9081985
331,0.09032286,0.0002739105,0.90847236
332,0.09027369,0.0002737614,0.9087461
333,0.089615285,0.00027176473,0.90901786
334,0.089141674,0.00027032848,0.90928817
335,0.08889997,0.0002695955,0.90955776
336,0.08855564,0.0002685513,0.90982634
337,0.08798033,0.00026680663,0.9100931
338,0.0876486,0.00026580063,0.9103589
339,0.08722683,0.00026452157,0.91062343
340,0.08694541,0.00026366813,0.9108871
341,0.08641797,0.00026206867,0.9111492
342,0.08623699,0.00026151983,0.91141075
343,0.086022034,0.00026086794,0.91167164
344,0.08553477,0.00025939028,0.91193104
345,0.08547773,0.0002592173,0.91219026
346,0.08506359,0.0002579614,0.9124482
347,0.084783,0.00025711049,0.91270536
348,0.08436125,0.0002558315,0.9129612
349,0.08412246,0.00025510736,0.9132163
350,0.08390687,0.00025445354,0.91347075
351,0.08343565,0.00025302454,0.91372377
352,0.083236836,0.00025242163,0.9139762
353,0.08297501,0.0002516276,0.91422784
354,0.082579575,0.00025042845,0.91447824
355,0.08217027,0.0002491872,0.91472745
356,0.08194569,0.00024850614,0.91497594
357,0.081140816,0.00024606532,0.915222
358,0.081067055,0.00024584163,0.91546786
359,0.08065268,0.00024458498,0.9157124
360,0.08027801,0.00024344878,0.91595584
361,0.08006353,0.00024279836,0.9161986
362,0.079747975,0.00024184142,0.9164404
363,0.07972608,0.00024177501,0.9166822
364,0.079424605,0.00024086077,0.91692305
365,0.07923785,0.00024029442,0.9171633
366,0.078965075,0.00023946722,0.9174028
367,0.078457005,0.00023792646,0.91764075
368,0.07830704,0.00023747169,0.9178782
369,0.07805933,0.00023672049,0.91811496
370,0.07762257,0.00023539597,0.91835034
371,0.076998696,0.00023350403,0.91858387
372,0.07676853,0.00023280605,0.9188167
373,0.076609485,0.00023232373,0.919049
374,0.07622845,0.0002311682,0.9192802
375,0.07597829,0.00023040957,0.9195106
376,0.07562696,0.00022934415,0.91973996
377,0.07549729,0.00022895091,0.9199689
378,0.07526913,0.00022825901,0.9201972
379,0.0750333,0.00022754383,0.92042476
380,0.07476788,0.00022673892,0.9206515
381,0.074728966,0.00022662092,0.9208781
382,0.074251056,0.00022517162,0.9211033
383,0.07404638,0.00022455092,0.9213278
384,0.073846176,0.00022394379,0.92155176
385,0.073414914,0.00022263596,0.9217744
386,0.07310704,0.00022170231,0.9219961
387,0.072831914,0.00022086797,0.922217
388,0.07267182,0.00022038248,0.92243737
389,0.072267495,0.00021915633,0.92265654
390,0.071996324,0.00021833398,0.92287487
391,0.07186987,0.00021795051,0.92309284
392,0.07150116,0.00021683236,0.9233097
393,0.07138853,0.0002164908,0.92352617
394,0.07107277,0.00021553325,0.9237417
395,0.07056392,0.00021399012,0.9239557
396,0.07028189,0.00021313484,0.9241688
397,0.070092835,0.00021256151,0.9243814
398,0.07001086,0.00021231294,0.9245937
399,0.06970789,0.00021139416,0.9248051
400,0.06943564,0.00021056853,0.9250157
401,0.06919422,0.0002098364,0.9252255
402,0.06904474,0.00020938308,0.9254349
403,0.068776295,0.00020856902,0.92564344
404,0.068397895,0.00020742149,0.92585087
405,0.06836134,0.00020731064,0.9260582
406,0.068288974,0.00020709119,0.92626524
407,0.067822576,0.0002056768,0.92647094
408,0.06754291,0.00020482868,0.92667574
409,0.0672782,0.00020402593,0.92687976
410,0.06720836,0.00020381414,0.92708355
411,0.06670465,0.00020228661,0.92728585
412,0.06652927,0.00020175474,0.9274876
413,0.06641407,0.0002014054,0.927689
414,0.06606567,0.00020034885,0.92788935
415,0.06588495,0.0001998008,0.92808914
416,0.06581322,0.00019958329,0.9282887
