component,eigenvalue,explained_variance_ratio,cumulative_variance
162,0.009326995,4.382678e-05,0.99337894
163,0.00929005,4.3653177e-05,0.99342257
164,0.009230334,4.337258e-05,0.99346596
165,0.009177172,4.312277e-05,0.99350905
166,0.009048926,4.2520154e-05,0.99355155
167,0.009028371,4.2423573e-05,0.993594
168,0.008868725,4.1673407e-05,0.99363565
169,0.008751241,4.112136e-05,0.9936768
170,0.008667604,4.0728355e-05,0.9937175
171,0.008629347,4.054859e-05,0.993758
172,0.008520273,4.003606e-05,0.9937981
173,0.008351322,3.9242175e-05,0.9938373
174,0.008320317,3.909648e-05,0.9938764
175,0.008272831,3.8873353e-05,0.99391526
176,0.008127884,3.819226e-05,0.99395347
177,0.00807851,3.7960253e-05,0.99399143
178,0.008015996,3.7666505e-05,0.9940291
179,0.00791653,3.719912e-05,0.9940663
180,0.00785516,3.691075e-05,0.9941032
181,0.0077867387,3.658924e-05,0.9941398
182,0.0077403006,3.6371035e-05,0.99417615
183,0.0077144834,3.6249723e-05,0.9942124
184,0.0076267137,3.58373e-05,0.9942482
185,0.007554728,3.5499044e-05,0.99428374
186,0.0075128395,3.530221e-05,0.994319
187,0.00738157,3.468539e-05,0.9943537
188,0.007342821,3.450331e-05,0.9943882
189,0.0072368993,3.4005592e-05,0.99442226
190,0.0071766083,3.3722292e-05,0.994456
191,0.0071190456,3.3451808e-05,0.99448943
192,0.0070738136,3.3239266e-05,0.9945227
193,0.007052385,3.3138575e-05,0.99455583
194,0.006976218,3.2780674e-05,0.9945886
195,0.0069356095,3.2589858e-05,0.9946212
196,0.0068602613,3.2235803e-05,0.99465346
197,0.0067838673,3.1876833e-05,0.99468535
198,0.0067252708,3.1601492e-05,0.99471694
199,0.006685467,3.1414456e-05,0.99474835
200,0.0066205417,3.110938e-05,0.99477947
201,0.006558949,3.081996e-05,0.9948103
202,0.0065319785,3.0693227e-05,0.994841
203,0.006492418,3.0507335e-05,0.9948715
204,0.006444594,3.0282616e-05,0.9949018
205,0.0063727526,2.9945038e-05,0.9949317
206,0.0063379747,2.978162e-05,0.9949615
207,0.006268959,2.9457322e-05,0.99499094
208,0.0062245005,2.9248415e-05,0.9950202
209,0.006141751,2.8859582e-05,0.99504906
210,0.0061115716,2.871777e-05,0.9950778
211,0.006101398,2.8669965e-05,0.99510646
212,0.0060450314,2.8405104e-05,0.9951349
213,0.0060383845,2.837387e-05,0.99516326
214,0.005963773,2.8023278e-05,0.9951913
215,0.0059506022,2.7961389e-05,0.99521923
216,0.0059128446,2.7783968e-05,0.995247
217,0.005835684,2.7421398e-05,0.9952744
218,0.0057767136,2.71443e-05,0.99530154
219,0.0057607293,2.7069193e-05,0.9953286
220,0.005739981,2.6971697e-05,0.9953556
221,0.0056947866,2.6759333e-05,0.99538237
222,0.0055587925,2.6120308e-05,0.9954085
223,0.005546798,2.6063946e-05,0.9954345
224,0.005535589,2.6011276e-05,0.9954605
225,0.005473449,2.5719284e-05,0.9954862
226,0.005437806,2.55518e-05,0.9955118
227,0.0053820717,2.5289912e-05,0.99553704
228,0.0053055594,2.4930387e-05,0.99556196
229,0.0053020497,2.4913894e-05,0.9955869
230,0.0052738194,2.4781242e-05,0.99561167
231,0.005212237,2.4491872e-05,0.99563617
232,0.005181609,2.4347954e-05,0.9956605
233,0.00513106,2.4110426e-05,0.9956846
234,0.0050911554,2.392292e-05,0.9957085
235,0.00506277,2.3789538e-05,0.9957323
236,0.0050473413,2.371704e-05,0.99575603
237,0.004991836,2.3456225e-05,0.9957795
238,0.0049678925,2.3343717e-05,0.9958029
239,0.0049615186,2.3313767e-05,0.9958262
240,0.0049214335,2.312541e-05,0.9958493
241,0.004879166,2.2926799e-05,0.99587226
242,0.004856,2.2817945e-05,0.9958951
243,0.0048219278,2.2657841e-05,0.99591774
244,0.0047829207,2.2474549e-05,0.9959402
245,0.004768544,2.2406994e-05,0.9959626
246,0.0047317264,2.2233991e-05,0.99598485
247,0.0046521337,2.1859993e-05,0.9960067
248,0.0045824586,2.1532594e-05,0.99602824
249,0.0045613376,2.1433349e-05,0.9960497
250,0.0045331656,2.1300972e-05,0.996071
251,0.0045279167,2.1276306e-05,0.99609226
252,0.0044925623,2.111018e-05,0.99611336
253,0.004474048,2.1023183e-05,0.9961344
254,0.004434202,2.0835949e-05,0.99615526
255,0.004377799,2.0570917e-05,0.9961758
256,0.00435329,2.0455751e-05,0.99619627
257,0.0043213353,2.0305599e-05,0.9962166
258,0.0042891353,2.0154293e-05,0.99623674
259,0.004273154,2.0079198e-05,0.9962568
260,0.0042225104,1.9841227e-05,0.9962767
261,0.00419258,1.9700588e-05,0.9962964
262,0.00417904,1.9636964e-05,0.996316
263,0.0041305954,1.9409326e-05,0.99633545
264,0.0041088853,1.9307314e-05,0.99635476
265,0.004090195,1.921949e-05,0.99637395
266,0.004070839,1.9128536e-05,0.9963931
267,0.004058175,1.9069028e-05,0.99641216
268,0.00402473,1.8911875e-05,0.99643105
269,0.0039852345,1.8726289e-05,0.99644977
270,0.0039797453,1.8700495e-05,0.9964685
271,0.0039533325,1.8576384e-05,0.9964871
272,0.0039269966,1.8452633e-05,0.99650556
273,0.0038756242,1.8211238e-05,0.9965238
274,0.0038494053,1.8088038e-05,0.99654186
275,0.0038378707,1.8033837e-05,0.9965599
276,0.003805977,1.7883973e-05,0.9965778
277,0.0037673363,1.7702403e-05,0.9965955
278,0.0037420637,1.7583649e-05,0.9966131
279,0.0037195582,1.7477898e-05,0.99663055
280,0.003717228,1.7466948e-05,0.996648
281,0.0037014068,1.7392606e-05,0.9966654
282,0.0036731022,1.7259605e-05,0.9966827
283,0.003644017,1.7122935e-05,0.9966998
284,0.003608588,1.6956457e-05,0.99671674
285,0.0035938488,1.68872e-05,0.9967336
286,0.0035728035,1.6788308e-05,0.9967504
287,0.0035579382,1.6718457e-05,0.9967671
288,0.003555998,1.670934e-05,0.9967838
289,0.003497285,1.6433454e-05,0.99680024
290,0.0034831099,1.6366846e-05,0.99681664
291,0.0034598105,1.6257365e-05,0.9968329
292,0.0034423482,1.617531e-05,0.99684906
293,0.0034224677,1.6081895e-05,0.99686515
294,0.0034001272,1.5976917e-05,0.9968811
295,0.003396156,1.5958258e-05,0.9968971
296,0.003369983,1.5835272e-05,0.99691296
297,0.0033223522,1.5611458e-05,0.9969286
298,0.003314353,1.557387e-05,0.9969441
299,0.00330545,1.5532038e-05,0.9969597
300,0.0032766596,1.5396754e-05,0.99697506
301,0.0032704158,1.5367414e-05,0.99699044
302,0.0032416375,1.5232187e-05,0.9970057
303,0.0032127323,1.5096364e-05,0.9970208
304,0.0032084654,1.5076314e-05,0.99703586
305,0.0031894762,1.4987086e-05,0.9970508
306,0.0031689897,1.4890821e-05,0.9970657
307,0.0031520436,1.4811193e-05,0.9970805
308,0.0031322408,1.4718142e-05,0.9970952
309,0.003114324,1.4633952e-05,0.9971099
310,0.0030854451,1.4498252e-05,0.9971244
311,0.0030609434,1.4383121e-05,0.99713874
312,0.003043795,1.4302542e-05,0.99715304
313,0.003013355,1.41595065e-05,0.9971672
314,0.0029860965,1.4031421e-05,0.99718124
315,0.0029798981,1.4002296e-05,0.99719524
316,0.0029749507,1.3979048e-05,0.99720925
317,0.0029570735,1.38950445e-05,0.99722314
318,0.0029526658,1.3874333e-05,0.997237
319,0.0029299823,1.3767745e-05,0.9972508
320,0.0029163423,1.3703652e-05,0.9972645
321,0.002894882,1.3602812e-05,0.9972781
322,0.002879105,1.3528677e-05,0.9972916
323,0.0028528294,1.340521e-05,0.99730504
324,0.002840213,1.3345927e-05,0.9973184
325,0.002836147,1.3326821e-05,0.99733174
326,0.0028063746,1.3186923e-05,0.9973449
327,0.0027807085,1.306632e-05,0.99735796
328,0.0027724062,1.3027308e-05,0.997371
329,0.0027466435,1.2906251e-05,0.99738395
330,0.0027373913,1.2862776e-05,0.9973968
331,0.0027342772,1.2848142e-05,0.9974097
332,0.002707236,1.2721079e-05,0.9974224
333,0.0026721337,1.2556136e-05,0.997435
334,0.002662073,1.2508861e-05,0.9974475
335,0.0026515655,1.2459487e-05,0.99745995
336,0.0026480902,1.2443158e-05,0.9974724
337,0.002639848,1.2404428e-05,0.9974848
338,0.0026097686,1.2263087e-05,0.9974971
339,0.00260205,1.2226818e-05,0.9975093
340,0.0025824616,1.2134774e-05,0.99752146
341,0.002579053,1.2118757e-05,0.99753356
342,0.0025694398,1.2073586e-05,0.99754566
343,0.002550576,1.19849465e-05,0.99755764
344,0.002529752,1.1887096e-05,0.9975695
345,0.0025183721,1.1833623e-05,0.99758136
346,0.002510901,1.1798517e-05,0.99759316
347,0.002509596,1.1792385e-05,0.99760497
348,0.0024889705,1.1695467e-05,0.99761665
349,0.002475245,1.1630972e-05,0.9976283
350,0.002466889,1.1591708e-05,0.99763983
351,0.0024513272,1.1518584e-05,0.99765134
352,0.0024331429,1.1433138e-05,0.9976628
