seed,dimension,method,eer,accuracy,auc,delta_eer
45,32,Gabor + XPCA (Min-Max),8.696344598407421,91.30365540159258,0.9660761139546941,-0.17769139130979994
45,32,Gabor + XPCA (Softmax),9.546303843501159,90.45369615649884,0.961299459099049,0.6722678537839375
45,32,Gabor + XPCA (Residual),7.611260894099941,92.38873910590006,0.9701989261502748,-1.2627750956172799
45,32,Gabor + XPCA (Sort),7.330240140447675,92.66975985955233,0.9704712747492388,-1.5437958492695465
45,32,Gabor + XPCA (Sort Weights),16.585115054235377,83.41488494576463,0.914037131160452,7.711079064518156
45,64,Raw PCA,9.831086588500845,90.16891341149915,0.9612403988934239,0.0
45,64,Raw XPCA (Min-Max),13.275189667063767,86.72481033293623,0.9401826199058279,3.4441030785629216
45,64,Gabor + PCA,8.022446548372937,91.97755345162706,0.9676900045725015,0.0
45,64,Gabor + XPCA (Min-Max),8.497836854975233,91.50216314502477,0.9672749180696397,0.4753903066022964
45,64,Gabor + XPCA (Softmax),9.279077058122764,90.72092294187723,0.9623532595514055,1.2566305097498276
45,64,Gabor + XPCA (Residual),7.233556962818982,92.76644303718102,0.9731053758244647,-0.7888895855539548
45,64,Gabor + XPCA (Sort),6.819612514891213,93.18038748510878,0.9744707792674515,-1.2028340334817242
45,64,Gabor + XPCA (Sort Weights),16.48943507429933,83.51056492570066,0.9148090147099979,8.466988525926393
45,128,Raw PCA,9.487115179635087,90.51288482036492,0.9622530241975567,0.0
45,128,Raw XPCA (Min-Max),11.70129788701486,88.29870211298514,0.9519858108697081,2.2141827073797735
45,128,Gabor + PCA,7.513449119067024,92.48655088093297,0.9706553015786601,0.0
45,128,Gabor + XPCA (Min-Max),8.480406295065519,91.51959370493448,0.9677337366514301,0.9669571759984947
45,128,Gabor + XPCA (Softmax),9.160072731832717,90.83992726816729,0.9630052793278575,1.6466236127656924
45,128,Gabor + XPCA (Residual),6.4065458649445075,93.59345413505548,0.9769039618662536,-1.1069032541225168
45,128,Gabor + XPCA (Sort),6.134428490814474,93.86557150918553,0.9771595766383396,-1.3790206282525501
45,128,Gabor + XPCA (Sort Weights),16.492570067088845,83.50742993291117,0.9150059509809467,8.979120948021821
45,256,Raw PCA,9.667941563734402,90.3320584362656,0.9621739783364351,0.0
45,256,Raw XPCA (Min-Max),10.818609317198568,89.18139068280144,0.9554080362863946,1.150667753464166
45,256,Gabor + PCA,7.532384475515705,92.46761552448429,0.9725284931083682,0.0
45,256,Gabor + XPCA (Min-Max),8.307229293372624,91.69277070662739,0.9683595117975131,0.7748448178569189
45,256,Gabor + XPCA (Softmax),9.093610884694964,90.90638911530505,0.9634860459177041,1.5612264091792598
45,256,Gabor + XPCA (Residual),5.642360022571951,94.35763997742805,0.9791355017288337,-1.890024452943754
45,256,Gabor + XPCA (Sort),5.584676155244845,94.41532384475515,0.9797622825194332,-1.9477083202708592
45,256,Gabor + XPCA (Sort Weights),16.49081447112672,83.50918552887327,0.9150813645323738,8.958429995611013
45,512,Raw PCA,9.656530189980561,90.34346981001944,0.9620878525911098,0.0
45,512,Raw XPCA (Min-Max),10.726816728321523,89.27318327167848,0.9570948324613974,1.0702865383409623
45,512,Gabor + PCA,7.128221205091226,92.87177879490878,0.9740579120336317,0.0
45,512,Gabor + XPCA (Min-Max),8.099943570129787,91.90005642987022,0.969919562507933,0.9717223650385609
45,512,Gabor + XPCA (Softmax),9.268543482349989,90.73145651765002,0.9638286746320971,2.140322277258763
45,512,Gabor + XPCA (Residual),5.072042134303094,94.92795786569691,0.9814101130279597,-2.056179070788132
45,512,Gabor + XPCA (Sort),4.793654774594021,95.20634522540597,0.9820636302604796,-2.3345664304972047
45,512,Gabor + XPCA (Sort Weights),16.49081447112672,83.50918552887327,0.9149638374758569,9.362593266035493
45,1024,Raw PCA,9.747946579722866,90.25205342027714,0.9619957052128049,0.0
45,1024,Raw XPCA (Min-Max),10.543482349990594,89.4565176500094,0.9582483042747537,0.7955357702677279
45,1024,Gabor + PCA,6.911781302903,93.088218697097,0.9748273010464759,0.0
45,1024,Gabor + XPCA (Min-Max),7.314439776788512,92.68556022321148,0.9717336913851927,0.4026584738855119
45,1024,Gabor + XPCA (Softmax),9.184024076744622,90.81597592325538,0.9639920784084636,2.272242773841622
45,1024,Gabor + XPCA (Residual),4.758041256505112,95.24195874349489,0.9826809785459445,-2.153740046397888
45,1024,Gabor + XPCA (Sort),4.696595397830587,95.30340460216942,0.9833349692388391,-2.2151859050724125
45,1024,Gabor + XPCA (Sort Weights),16.49144146968462,83.50855853031538,0.9149638423695039,9.57966016678162
46,32,Raw PCA,11.047087591698538,88.95291240830147,0.9559356509850759,0.0
46,32,Raw XPCA (Min-Max),15.258511505423538,84.74148849457646,0.9295555730231577,4.211423913725
46,32,Gabor + PCA,8.792902376324532,91.20709762367547,0.9641079244971394,0.0
46,32,Gabor + XPCA (Min-Max),9.078813718728446,90.92118628127155,0.9635144241782878,0.2859113424039137
46,32,Gabor + XPCA (Softmax),10.418082638409931,89.58191736159007,0.9561931020983043,1.625180262085399
46,32,Gabor + XPCA (Residual),7.792714276757162,92.20728572324283,0.9693076902137758,-1.00018809956737
46,32,Gabor + XPCA (Sort),7.122202018935354,92.87779798106465,0.9708320637886922,-1.6707003573891779
46,32,Gabor + XPCA (Sort Weights),17.068907141513577,82.93109285848642,0.9104796282051477,8.276004765189045
46,64,Raw PCA,9.955733901812025,90.04426609818798,0.9603954201578506,0.0
46,64,Raw XPCA (Min-Max),12.680418835036678,87.31958116496332,0.9454945614756792,2.724684933224653
46,64,Gabor + PCA,7.916107592952534,92.08389240704746,0.9682521610805173,0.0
46,64,Gabor + XPCA (Min-Max),8.934854849833844,91.06514515016616,0.9652002979007782,1.0187472568813094
46,64,Gabor + XPCA (Softmax),9.991974418458836,90.00802558154116,0.9573441955990818,2.075866825506302
46,64,Gabor + XPCA (Residual),6.7783560097811755,93.22164399021882,0.9735784814094928,-1.137751583171359
46,64,Gabor + XPCA (Sort),6.74738228102075,93.25261771897925,0.9742012139303787,-1.1687253119317846
46,64,Gabor + XPCA (Sort Weights),17.070286538340962,82.92971346165903,0.9109725530616646,9.154178945388427
46,128,Raw PCA,9.740924195874348,90.25907580412566,0.961486707171793,0.0
46,128,Raw XPCA (Min-Max),10.49708445670575,89.50291554329425,0.9543825896263854,0.7561602608314022
46,128,Gabor + PCA,7.6021067151545525,92.39789328484545,0.9709857597922646,0.0
46,128,Gabor + XPCA (Min-Max),8.525675590946138,91.47432440905386,0.9666613085306978,0.9235688757915854
46,128,Gabor + XPCA (Softmax),9.936422346228602,90.0635776537714,0.957974326091245,2.334315631074049
