PC_Index,Explained_Variance,Variance_Ratio,Fisher_Score,Fisher_Rank
273,0.116658345,0.0003979398,0.68780226,221
274,0.11577122,0.0003949137,0.63832736,256
275,0.11479863,0.00039159603,0.6016823,295
276,0.11408547,0.00038916332,0.5902685,305
277,0.11386741,0.0003884195,0.6526342,246
278,0.11367146,0.00038775106,0.6072105,287
279,0.113124445,0.00038588513,0.54960173,357
280,0.11262083,0.00038416722,0.63055813,267
281,0.112126075,0.0003824795,0.6852934,224
282,0.11115206,0.000379157,0.5792587,314
283,0.111127965,0.0003790748,0.6292605,270
284,0.110558555,0.00037713247,0.6697221,238
285,0.10971502,0.00037425503,0.69787353,215
286,0.10920554,0.0003725171,0.65718865,245
287,0.1086387,0.00037058353,0.56771845,329
288,0.108365186,0.00036965054,0.6292145,271
289,0.10794797,0.00036822734,0.5752019,320
290,0.10759268,0.0003670154,0.53177935,379
291,0.106839925,0.00036444765,0.61071104,284
292,0.10676748,0.00036420053,0.5095949,405
293,0.106154375,0.00036210913,0.5487943,360
294,0.10604553,0.00036173782,0.69923335,214
295,0.10543816,0.00035966598,0.5752644,319
296,0.10469293,0.0003571239,0.53139716,380
297,0.10448931,0.00035642934,0.59829736,298
298,0.103470095,0.00035295263,0.5766878,318
299,0.10300718,0.00035137354,0.5682229,328
300,0.10272312,0.0003504046,0.5264085,386
301,0.10225614,0.00034881165,0.67125225,236
302,0.10176234,0.0003471272,0.57494396,321
303,0.101487525,0.00034618977,0.6933577,218
304,0.10093516,0.00034430556,0.72554564,199
305,0.10050592,0.00034284135,0.5872919,308
306,0.10016979,0.00034169477,0.46822593,452
307,0.09979592,0.00034041944,0.64397603,253
308,0.0991643,0.0003382649,0.56767946,330
309,0.09890209,0.00033737044,0.5624586,337
310,0.09863112,0.00033644613,0.56471145,333
311,0.09824854,0.00033514109,0.6263431,273
312,0.097870536,0.00033385167,0.6727898,234
313,0.097279936,0.000331837,0.684511,226
314,0.09668751,0.00032981616,0.70113957,212
315,0.09614732,0.0003279735,0.6044877,293
316,0.09563664,0.0003262315,0.5620149,338
317,0.09547608,0.0003256838,0.5472668,362
318,0.094766475,0.00032326323,0.5498128,356
319,0.09435691,0.00032186613,0.568809,327
320,0.094212994,0.0003213752,0.55267715,351
321,0.093517974,0.00031900438,0.63333875,264
322,0.09334176,0.0003184033,0.68095386,230
323,0.09251149,0.00031557112,0.6722652,235
324,0.09233476,0.00031496826,0.5814633,313
325,0.09168312,0.00031274543,0.6149216,280
326,0.091598585,0.00031245706,0.60481507,292
327,0.09145435,0.00031196504,0.5225886,392
328,0.090935774,0.0003101961,0.64499205,252
329,0.090652555,0.00030923,0.56193286,339
330,0.09038227,0.00030830802,0.62200266,277
331,0.09022839,0.0003077831,0.63690674,257
332,0.089591086,0.00030560917,0.502513,414
333,0.08933901,0.0003047493,0.5952098,301
334,0.0888471,0.0003030713,0.6433607,255
335,0.0885566,0.00030208039,0.56660706,331
336,0.08796624,0.00030006655,0.51213765,403
337,0.08784461,0.00029965167,0.54021716,371
338,0.087398864,0.00029813114,0.6349437,262
339,0.08701142,0.0002968095,0.56371856,334
340,0.08681142,0.00029612728,0.52871764,383
341,0.08647307,0.0002949731,0.50933623,406
342,0.08602128,0.000293432,0.55182326,352
343,0.08566601,0.0002922201,0.4953302,424
344,0.0855428,0.0002917998,0.5344052,377
345,0.08515763,0.00029048597,0.5895801,306
346,0.08464348,0.00028873212,0.5932605,303
347,0.084489115,0.00028820554,0.54384506,366
348,0.08416408,0.0002870968,0.5466678,363
349,0.08383974,0.00028599042,0.5204426,396
350,0.08362742,0.00028526617,0.6239519,276
351,0.083194666,0.00028378997,0.5710147,324
352,0.083013095,0.0002831706,0.6602301,242
353,0.08268895,0.0002820649,0.55988157,342
354,0.082225345,0.00028048348,0.5517585,353
355,0.08179191,0.00027900495,0.5256004,388
356,0.08141387,0.00027771541,0.5451043,365
357,0.08122781,0.00027708072,0.584074,312
358,0.080671355,0.00027518257,0.5089881,407
359,0.08037794,0.00027418166,0.577438,317
360,0.08024843,0.00027373992,0.55002546,355
